Defect ID,Feature ID,Test ID,Reproduction / Scenario,Expected Result,Actual Result,Severity,Root Cause Hypothesis,Proposed Smallest-Safe Fix,Status
D-071,SHO-006,SHO-006-T2,Stack multiple toasts,Toasts offset/stack in a region,"Each sonner hardcodes identical position: fixed; bottom right — they overlap, not stack",Medium,No stacking offset logic; needs JS or :nth offsets,"Use .sonner-region flow positioning, or JS to offset",Fixed
D-072,SHO-008,SHO-008-T1,Resolve ./registry.json from apps/www,File exists in apps/www,Not present in apps/www; only packages/shadcss/registry.json exists,Medium,Link assumes registry.json sits beside index.html,Point href to ../../packages/shadcss/registry.json or copy the file into apps/www,Fixed
D-073,SHO-008,SHO-008-T2,Resolve ./AI_GUIDE.md from apps/www,File exists in apps/www,AI_GUIDE.md absent from apps/www,Medium,Dead relative link,Correct the path to the actual AI_GUIDE.md location or add the file,Fixed
D-074,SHO-010,SHO-010-T2,Mobile sidebar reachability,A trigger reveals nav on mobile,Sidebar set display:none under 1024px with no toggle to reopen it; mobile users lose nav and theme toggle,Medium,No mobile menu/sheet trigger despite a Sheet component existing,Wire a hamburger that opens the existing sheet/drawer for mobile nav,Waived
D-075,SHO-011,SHO-011-T1,Tabs expose tablist/tab/tabpanel roles,role=tablist/tab/tabpanel present,"No ARIA roles; radios+labels only, announced as radio group not tabs",Medium,CSS-only tabs cannot get tab roles without JS/markup additions,Add role=tablist/tab/tabpanel and aria-selected,Fixed
D-076,SHO-011,SHO-011-T2,Tooltip content in a11y tree,Tooltip text exposed (aria-describedby/role=tooltip),data-tooltip rendered via CSS ::after only; not in accessibility tree,Medium,Pseudo-element content is not announced by screen readers,Mirror tooltip text into aria-label/aria-describedby,Fixed
D-077,SUR-003,SUR-003-T4,Screen reader announces alert,role=alert (live region),CSS never sets role; registry markup omits role=alert. Showcase has zero role=alert,Medium,Component documented/used without ARIA role,Add role=alert to registry markup and showcase alert containers,Fixed
D-078,SUR-004,SUR-004-T2,Reserved padding for close button,Right padding reserves space so text does not sit under the X,"Padding rule requires .alert[role=alert].alert-dismissible, but showcase details has NO role=alert, so padding never applies and the close X can overlap content",Medium,Padding selector over-qualified with [role=alert],Drop [role=alert] from selector and/or add role=alert in markup,Fixed
D-079,SUR-004,SUR-004-T3,AT announcement + dismiss control labeling,role=alert live region and labeled close control,No role=alert on the details; summary relies on showcase-supplied aria-label which CSS/registry do not mandate,Medium,ARIA not enforced by component contract,Document required role=alert and aria-label on summary,Fixed
D-080,SUR-005,SUR-005-T2,Zero-JS claim vs opening the dialog,No JavaScript needed per framework tagline,Opening requires showModal(); showcase uses inline onclick=showModal(). README 0-JS claim contradicted for opening,Medium,Native <dialog> modal cannot be opened without JS,Document that opening alert-dialog requires showModal()/JS,Fixed
D-081,SUR-007,SUR-007-T2,Validate file against cited $schema,Document conforms to https://ui.shadcn.com/schema.json,shadcn schema expects items with type/files/registryDependencies; this file uses name/version/style/tokens/components — non-conforming,Medium,$schema points at shadcn but the structure is bespoke,Remove/replace $schema or restructure to shadcn registry-item shape,Fixed
D-082,BAS-001,BAS-001-T4,--z-modal and --z-popover collide at same stacking value,Distinct layers get distinct z-index,"Both --z-modal and --z-popover = 1300, so popovers cannot reliably stack above modals",Low,Copy duplication; popover should sit above modal or below overlay,Set --z-popover to a distinct value per intended stacking,Fixed
D-083,BAS-003,BAS-003-T4,Component imported standalone without reset/theme,Graceful degradation,"button.css references var(--space-2) etc. which are undefined without tokens.css, leaving properties invalid/empty",Low,Components hard-depend on tokens with no fallbacks,Provide var() fallbacks or document tokens.css as a hard prerequisite,Waived
D-084,BLD-001,BLD-001-T2,readAndBundle reads source from disk but bundle() never uses it,"Either source is fed to bundle, or the read is removed",Line 32 reads source into a var; bundle() re-reads from disk via filename and ignores source; build() destructures only {code}. Dead/duplicate disk read,Low,Leftover from a transform-based approach; bundle() resolves @imports itself,Remove the redundant fs.readFile and source return,Fixed
D-085,BLD-002,BLD-002-T2,release uses npm publish but project declares pnpm packageManager,Publish tool consistent with declared package manager,release calls npm publish while packageManager=pnpm@9.0.0. Mixed toolchain,Low,packageManager field copied in without aligning scripts/lockfile,Align packageManager to npm or change scripts to pnpm and commit a pnpm-lock.yaml,Fixed
D-086,BLD-003,BLD-003-T2,Duplicate workspace globs in package.json and pnpm-workspace.yaml,One workspace declaration,"package.json workspaces and pnpm-workspace.yaml both list apps/*,packages/* — redundant; harmless only if kept in sync manually",Low,Both managers configs left in tree,Keep only the config for the chosen manager,Fixed
D-087,BLD-004,BLD-004-T2,Package name shadcss available/published on npm,Either published or name reserved,npm view shadcss version -> 404 Not Found (not published). release would publish a public unscoped name currently free; name-squat/typo risk until claimed,Low,Never published; 0.1.0 only local,"Publish 0.1.0 to reserve the name, or scope it",Fixed
D-088,BLD-005,BLD-005-T1,README 50 components vs actual file count,Claimed count == real count,README and badge say 50 components; src/components has 52 files and shadcss.css has 52 component @imports. Off by 2,Low,Components added after README count was written,Update README/badge to 52 components or derive count from registry.json,Fixed
D-089,BTN-001,BTN-001-T4,btn-link inside btn-group joins visually,link aligns within joined group,btn-link sets height:auto/padding:0 conflicting with group's height/border-radius:0 rules; misaligns vertically,Low,btn-link overrides height/padding that btn-group assumes uniform,"Document btn-link as incompatible with btn-group, or scope link overrides with :not(.btn-group .btn)",Fixed
D-090,BTN-004,BTN-004-T3,Disabled toggle state styling,Disabled visual state exists,No :disabled rule for .toggle; disabled toggle looks identical to enabled,Low,Missing disabled styling for toggle,Add .toggle:disabled{ opacity:.5; pointer-events:none },Fixed
D-091,BTN-005,BTN-005-T4,Outline variant with 3+ items joins borders correctly,"middle items collapse adjacent borders, square inner corners","Only :first-child and :last-child square corners; middle items retain full radius-md, producing rounded inner corners and double borders mid-row",Low,Missing middle-item corner reset; first/last-only logic,Add :not(:first-child):not(:last-child){ border-radius:0 },Fixed
D-092,BTN-005,BTN-005-T6,Vertical + outline border collapsing,vertical outline collapses top/bottom borders,Outline border-collapse rules only target inline-start/horizontal corners; vertical outline groups get double horizontal borders and wrong rounded corners,Low,Outline variant authored only for horizontal layout,Add vertical-specific border/corner rules under [data-orientation=vertical][data-variant=outline],Fixed
D-093,CTL-001,CTL-001-T3,Switch lacks role=switch (announced as checkbox not switch),Ideally role=switch / aria-checked,No role applied; native checkbox announces as checkbox not switch,Low,CSS-only library cannot add roles; comment claims a11y is free which overstates,Document adding role=switch in markup guidance,Fixed
D-094,CTL-001,CTL-001-T5,sm/lg variants do not define RTL checked transform,RTL checked offset for sm/lg matches their widths,"switch-sm/lg define only LTR :checked::before; the [dir=rtl] rule only targets base width, so sm/lg knobs overshoot/undershoot in RTL",Low,RTL override not duplicated for size variants,Add [dir=rtl] rules for .switch-sm/.switch-lg checked::before,Fixed
D-095,CTL-002,CTL-002-T5,Vertical slider via data-orientation,Vertical track sizing,writing-mode vertical + fixed 8rem height; but fill gradient is still to right so in vertical mode the gradient axis no longer matches the visual track,Low,Gradient direction not adapted for vertical orientation,"Add a vertical override with linear-gradient(to top, ...)",Fixed
D-096,CTL-003,CTL-003-T4,File comment proposes single-input letter-spacing approach but ships multi-input,Implementation matches its documented approach,"Header describes a single-input striped-background fake, but the actual CSS + markup use multiple boxes",Low,Stale design comment left in file,Remove the misleading single-input comment block,Fixed
D-097,CTL-003,CTL-003-T5,Separator and grouping semantics,OTP group is labeled/associated for SR,.otp-separator is a decorative span with no aria-hidden; group label not programmatically tied to inputs,Low,No grouping semantics; separator may be read aloud,Add aria-hidden to separator and per-input aria-label or labeled group,Fixed
D-098,CTL-004,CTL-004-T5,Determinate transition uses width on value pseudo,value changes animate smoothly,"::-webkit-progress-value transition:width slow; Firefox ::-moz-progress-bar has no width transition, so Firefox value jumps",Low,transition declared only on WebKit value pseudo,Add transition: width to .progress::-moz-progress-bar,Fixed
D-099,DAT-003,DAT-003-T3,Dots indicate/seek active slide,Active dot reflects current slide; clicking a dot seeks,"Dots are static styled buttons; active state hardcoded via inline style; no scroll-tracking, no seek handler",Low,Active-dot tracking and seek both require JS,Document dots as decorative/JS-driven; optionally use scroll-driven animations,Waived
D-100,DAT-003,DAT-003-T6,Reduced motion honored for smooth scrolling,prefers-reduced-motion disables scroll-behavior:smooth,scroll-behavior:smooth is unconditional; no reduced-motion guard,Low,No @media (prefers-reduced-motion) override,Add @media (prefers-reduced-motion: reduce){ .carousel-viewport{ scroll-behavior:auto } },Fixed
D-101,DIS-001,DIS-001-T4,Very long tooltip text near viewport edge,Text wraps or repositions to stay visible,"white-space:nowrap forces single line; transform centers at 50% with no collision logic, so it clips",Low,Pure-CSS positioning cannot detect viewport collisions,Offer a wrapping variant; acknowledge edge clipping as a platform limit,Fixed
D-102,DIS-002,DIS-002-T2,File comment claims Popover API hover trigger,Implementation uses Popover API as documented,No popover attribute or ::backdrop; reveal is purely :hover/:focus-within + display toggle,Low,Comment is aspirational/stale; actual mechanism is display toggle,Correct the file header comment to describe the display-toggle mechanism,Fixed
D-103,DIS-004,DIS-004-T4,Using .collapsible on non-details element,Defined fallback,"[open] attribute only exists on <details>; on a plain div the reveal/rotate never trigger, content stuck at 0fr (hidden)",Low,Component hard-depends on native details semantics not enforced,Document that .collapsible MUST be a <details> element,Fixed
D-104,FBK-001,FBK-001-T6,Registry markup omits .toast-region wrapper,markup demonstrates positioning region,"registry markup is a bare .toast with popover, no .toast-region; region positioning thus unused",Low,Markup sample drops the fixed region wrapper,Wrap markup in <div class=toast-region>...</div>,Fixed
D-105,FBK-002,FBK-002-T7,Registry lists sonner-region class but markup positions sonner via inline style instead,region drives positioning,"demo overrides with inline fixed position, bypassing region flex stacking",Low,popover top-layer needs explicit position since region isn't the offset parent,Use non-popover in-flow sonner inside .sonner-region for true stacking demo,Fixed
D-106,FBK-004,FBK-004-T2,scroll-area-sm shrinks scrollbar,thinner in WebKit AND Firefox,only ::-webkit width changes; Firefox scrollbar-width stays thin regardless of -sm/-lg,Low,Firefox has no per-element scrollbar thickness control beyond thin/auto/none,Document that size variants are WebKit-only; acknowledge Firefox limitation,Fixed
D-107,FRM-001,FRM-001-T4,Trailing-only icon input gets unwanted leading padding,"With only a trailing icon, input keeps normal start padding and pads the end",.input-wrap .input unconditionally sets padding-inline-start:2.5rem; trailing padding requires .input-trailing,Low,Leading padding applied to every .input inside a wrap regardless of icon position,Scope leading padding to a leading-icon marker via :has(),Fixed
D-108,FRM-002,FRM-002-T2,Demo bio textarea has no placeholder claims Max 280 chars but no maxlength and invalid never triggers,Validation visually reflects constraints,index.html textarea has no maxlength and no placeholder; :invalid:not(:placeholder-shown) cannot fire; the 280-char limit is description-only text,Low,Invalid styling keyed on :placeholder-shown; demo control has neither placeholder nor maxlength,"Add maxlength=280 to the demo textarea, or document the placeholder requirement",Fixed
D-109,FRM-003,FRM-003-T3,form-field help-text turns red only when control non-empty,Error color on invalid,Gated on :placeholder-shown; an empty invalid control with no placeholder never reddens help-text,Low,Same :placeholder-shown empty-proxy limitation as inputs,Add :user-invalid alternative selectors,Fixed
D-110,FRM-004,FRM-004-T4,Stale comment asserting :user-invalid lacks support,Comments reflect current platform reality,"field.css states :user-invalid lacks browser support; Baseline-supported since ~2023, so comment is outdated",Low,Design decision based on obsolete compatibility info,Update comment and adopt :user-invalid as primary trigger,Fixed
D-111,MED-001,MED-001-T2,Image fallback when no img provided,Comment claims :not(:has(img)) drives fallback,No :has/:not selector exists; fallback is just text shown because there is no img element. The documented mechanism is absent,Low,Stale comment describing a mechanism never implemented,Edit the header comment OR add .avatar > img { position:absolute; inset:0; },Fixed
D-112,MED-002,MED-002-T3,Multiple skeleton-text lines; only last should be 60%,last-child 60% width,".skeleton-text:last-child{width:60%} fires for ANY last child, including a single-line block. Showcase overrides with inline width to fight it",Low,Over-broad last-child rule assumes multi-line text groups,Scope to .skeleton-text-group .skeleton-text:last-child{width:60%},Fixed
D-113,MED-004,MED-004-T4,Non-media child (text block) inside aspect-ratio,reasonable layout,"> * forces position:absolute, width/height 100%, object-fit:cover — text gets stretched/clipped. Misuse silently breaks",Low,Universal child selector assumes replaced media,"Narrow selector to > img, > video, > picture, > iframe",Fixed
D-114,MNU-001,MNU-001-T5,Registry classes list completeness vs CSS,Every class in registry exists in CSS,.dropdown is listed in registry classes but the CSS file defines no .dropdown rule; it is a layout wrapper only,Low,Registry advertises a .dropdown class that carries no styles,Remove dropdown from the classes array or add a documented .dropdown rule,Fixed
D-115,MNU-002,MNU-002-T2,Showcase wrapper class matches registry/CSS,Item wrapper class used in showcase is defined/known,Showcase uses .menubar-menu-item wrapper but neither menubar.css nor registry defines or lists it; unstyled,Low,Showcase invented an undocumented wrapper class,"Add .menubar-menu-item to menubar.css and registry, or drop the wrapper",Waived
D-116,MNU-002,MNU-002-T4,Menu always opens bottom-start regardless of viewport edge,Menu repositions when near right/bottom edge,menubar-menu hard-codes inset bottom-start + margin-top with no data-side variants or collision handling,Low,No anchor/collision logic,Add data-side variants or anchor positioning with try fallbacks,Waived
D-117,MNU-003,MNU-003-T5,20rem min-width panel on narrow viewport,Panel stays within small screens,min-width:20rem fixed with no media query; on <320px viewports the panel overflows horizontally,Low,Fixed min-width with no responsive cap,"Use min-width:min(20rem, calc(100vw - 2rem))",Fixed
D-118,MNU-004,MNU-004-T2,Zero-JS claim vs documented inline JS requirement,Component works with no JavaScript per README 0-JS claim,context-menu.css header says it needs a tiny inline oncontextmenu to position — contradicts the zero-JS claim,Low,Right-click + cursor positioning impossible in pure CSS,Label context-menu as requires JS in README component table,Fixed
D-119,MSC-001,MSC-001-T4,".prose kbd overrides component kbd, dropping box-shadow/min-width/height",Consistent kbd styling everywhere,"Inside .prose, typography.css has equal specificity and no min-width/height/box-shadow, so prose kbds look different",Low,Duplicate kbd ruleset in typography.css diverges from component,"Remove the .prose kbd block and rely on component kbd.css, or align declarations",Fixed
D-120,MSC-003,MSC-003-T6,Missing data-direction attribute,Defined fallback layout,No base grid-auto-flow without data-direction; children fall into a single auto row — unspecified/likely broken,Low,Axis rules gated entirely behind attribute selectors,Add default grid-auto-flow: column; grid-auto-columns: 1fr; to base .resizable,Fixed
D-121,MSC-005,MSC-005-T2,0 lines of JS claim vs resizable,All components work without JS,"resizable.css and its registry entry require JS for resize, contradicting footer claim",Low,Marketing claim overstated,Qualify claim to core components ship 0 JS; resizable needs ~10 lines,Fixed
D-122,NAV-001,NAV-001-T2,13th tab (id suffix -13),Panel shows when its radio checked,No rule for -13; panel stays display:none. Requires hand-written one-line rule per docs,Low,Suffix enumeration is finite; -13+ unsupported out of the box,Extend the suffix list to needed range or add a :target fallback,Waived
D-123,NAV-001,NAV-001-T4,Invalid CSS property focus-visible-anchor: contains,All declarations are valid CSS,"tabs-panel declares focus-visible-anchor: contains, which is not a recognized CSS property; ignored",Low,Non-existent/typo property; no effect,Remove line tabs.css:92,Fixed
D-124,OVL-002,OVL-002-T3,Sheet rendered with no data-side,Reasonable default placement and slide,No default animation or inset; sheet centers via UA default with no slide. Registry markup shows data-side=right but it is not enforced,Low,Base dialog.sheet omits a default-side fallback,Apply the right rules to dialog.sheet:not([data-side]),Fixed
D-125,OVL-003,OVL-003-T3,Drawer rendered with no data-side,Sensible default edge placement,"Without data-side, no inset override is applied; base animation slides translateX(100%) but the panel is not pinned to the right edge, causing animation/placement mismatch",Low,Right-edge pinning lives only under [data-side=right],Apply the right-side inset to dialog.drawer:not([data-side]),Fixed
D-126,OVL-004,OVL-004-T4,Popover trigger/target ARIA association,Trigger exposes popup semantics and the panel has a role/labelledby,"Popover API auto-adds implicit aria on the button, but the .popover panel has no role and title isn't programmatically linked",Low,CSS-only library leaves ARIA wiring to consumers,Document adding role=dialog and aria-labelledby pointing at .popover-title,Fixed
D-127,OVL-005,OVL-005-T3,Registry markup matches showcase usage for popover data-side,data-side values in markup match those styled in CSS,"dropdown/popover markup and showcase use data-side=bottom-start/bottom-end, but popover.css defines only top/start/end; values diverge",Low,Positioning vocabularies not reconciled between CSS and registry/showcase,Define the bottom-start/bottom-end variants in popover.css or update registry/markup,Fixed
D-128,REG-002,REG-002-T1,Search repo for any code that reads/parses registry.json,At least one consumer parses registry.json,"Only README.md, packages README, AI_GUIDE.md, and index.html mention it — all docs/markup, no parser",Low,"registry.json is a hand-maintained doc artifact, not integrated with any CLI","Document registry.json as machine-readable reference only, not a shadcn-CLI registry",Fixed
D-129,REG-002,REG-002-T2,registry.json drifts from source since nothing validates it,Tooling keeps registry in sync with src/components,No sync/validation step exists; counts already disagree (52 in registry vs 50 claimed elsewhere),Low,Manual maintenance with no CI check,Add a build-time assert comparing registry count to ls src/components/*.css and documented count,Waived
D-130,REG-004,REG-004-T1,Reconcile claimed 50 vs actual registry/file counts,50 == registry items == css files,registry.json has 52 items; src/components has 52 .css files; docs claim 50,Low,Two components added without updating the 50 headline/inventory,"Update all 50 references and badges to 52, regenerate the AI_GUIDE inventory list",Fixed
D-131,REG-004,REG-004-T2,AI_GUIDE inventory list completeness,AI_GUIDE 50-list matches registry 52 items,"AI_GUIDE lists names but count/content drift from registry 52 (naming differences, missing entries)",Low,Hand-maintained list not regenerated,Generate the inventory block programmatically from registry.json,Waived
D-132,REG-005,REG-005-T3,Two READMEs cite different gzip badge values,Consistent number across docs,packages README badge says 15.2 KB; root README badge says 15.3 KB — minor inconsistency,Low,Independent edits; bundle changed between badge updates,Single-source the size; pick one value for both badges,Waived
D-133,REG-006,REG-006-T3,Version consistency between package.json and registry.json,Same version,package.json version 0.1.0 but registry.json version 0.2.0,Low,registry.json bumped independently of package.json,Single-source version or derive registry version from package.json at build,Fixed
D-134,REG-007,REG-007-T2,Component count in comparison vs headline,Consistent count,Comparison says 50+ while headline says 50 and actual is 52,Low,Inconsistent figures across sections,Standardize to 52 everywhere,Fixed
D-135,REG-008,REG-008-T2,Potential trademark/endorsement confusion with shadcn,Clear not affiliated with shadcn disclaimer given near-identical name and reuse of shadcn schema URL,No disclaimer of non-affiliation; name shadcss + shadcn keyword + ui.shadcn.com schema URL imply association; only clone of the aesthetic wording present,Low,Heavy lean on shadcn identity for credibility without explicit non-affiliation notice,Add Not affiliated with or endorsed by shadcn/ui to README and remove the unused shadcn schema URL,Fixed
D-136,SEL-002,SEL-002-T5,Registry deps completeness for checkbox,checkbox entry should list base/tokens dep,checkbox registry block omits a deps array entirely though CSS references tokens,Low,Inconsistent registry authoring,Add deps: [base/tokens] to the checkbox registry entry,Fixed
D-137,SEL-003,SEL-003-T5,Registry classes claim .radio-group belongs to radio component,radio entry classes accurate,"radio registry lists classes [radio,radio-group] but radio-group is also a separate component owning the same class — overlapping ownership",Low,Class ownership leaks across two registry components,Drop radio-group from the radio entry classes,Fixed
D-138,SEL-004,SEL-004-T3,Pre-:has() browser fallback for selected state,Graceful degradation when :has() unsupported,"No @supports fallback; the :has(:checked) rule is dropped, leaving no visual selection; showcase radios lack .radio class",Low,Reliance on :has() with no progressive-enhancement fallback,Add .radio class to inner inputs and/or an @supports fallback,Waived
D-139,SHO-004,SHO-004-T2,Persistence across reload,Chosen theme remembered,No localStorage write; reload resets to light,Low,Handler only mutates DOM attribute,Persist to localStorage and restore on load,Waived
D-140,SHO-004,SHO-004-T3,Toggle exposes pressed state,aria-pressed reflects current theme,"Plain button, no aria-pressed/role state",Low,No ARIA wired to toggle state,Add aria-pressed and update it in the handler,Waived
D-141,SHO-007,SHO-007-T2,Count consistency across the page,50 everywhere or honest 50+,"Mix of 50+, 50, and a sidebar Components (50) that links only ~18 items",Low,Sidebar curated to a subset while labels claim 50,Align the count label with the actual listed/showcased components,Fixed
D-142,SHO-009,SHO-009-T2,JS disabled and image fails,Graceful fallback,Without JS the onerror never runs; empty/broken avatar shows,Low,Fallback is JS-only,Provide a CSS ::after initial behind the image as a no-JS fallback,Waived
D-143,SHO-011,SHO-011-T3,Dropdown/menubar menu roles,role=menu/menuitem and aria-expanded on trigger,Plain buttons + popovertarget; no menu roles or aria-expanded,Low,Popover API gives no implicit menu semantics,Add role=menu/menuitem and aria-haspopup/expanded where feasible,Waived
D-144,SHO-012,SHO-012-T2,Calendar navigation buttons,Prev/next change the month,Buttons are inert; no handler or CSS state to change months,Low,"Static markup, no JS bound",Disable/aria-disabled the nav or note it is display-only,Fixed
D-145,SHO-012,SHO-012-T3,Carousel dots indicate/control position,Dots reflect/scroll to slides,Dots are buttons with no handler; only first is hardcoded active,Low,No JS to bind dots to scroll position,Bind dots to scrollTo or present as static indicators,Waived
D-146,SHO-012,SHO-012-T4,OTP auto-advance between inputs,Typing a digit advances focus,"Plain inputs, no auto-advance; manual tabbing required",Low,Auto-advance requires JS not present,Document as display-only or add minimal JS,Fixed
D-147,SUR-001,SUR-001-T3,footer with data-justify=center,Some justification handling,"Only end and between are matched; center falls through to default flex-start, silently ignored",Low,No rule for data-justify=center,Add .card-footer:where([data-justify=center]) { justify-content: center; },Fixed
D-148,SUR-001,SUR-001-T4,card-title conveys heading semantics,Title exposed as heading to AT,card-title is a styled div with font-weight 600; no heading role/element,Low,Title is presentational only,Document/encourage using <h3 class=card-title>,Waived
D-149,SUR-002,SUR-002-T2,Keyboard user focuses an interactive card,Equivalent visual affordance on :focus-visible,"No :focus or :focus-visible rule; only :hover. Keyboard users get no lift, and the div is not focusable",Low,Hover-only styling; no focus parity,Add .card-interactive:focus-visible mirroring hover,Fixed
D-150,SUR-005,SUR-005-T3,Content taller than viewport,Scroll within dialog,dialog has overflow:hidden with no max-height/scroll on body; tall content would be clipped,Low,overflow:hidden plus no max-height clips overflowing body content,Add max-height (e.g. 90vh) and overflow:auto on .alert-dialog-body,Fixed
D-151,SUR-005,SUR-005-T5,Focus trap and labeling,Modal traps focus and is labeled by title,Native showModal() provides focus trap; however no aria-labelledby links title and no role=alertdialog,Low,Relies on native dialog semantics but omits role=alertdialog and aria-labelledby,"Add role=alertdialog, aria-labelledby/aria-describedby",Waived
D-152,SUR-006,SUR-006-T3,data-orientation=diagonal (unsupported value),Defined fallback,"Neither horizontal nor vertical rule matches; :not([data-orientation]) also won't match, so separator gets only base styles and collapses to invisible",Low,Invalid orientation value matches no rule and skips the default branch,"Make default robust: apply horizontal sizing to base, override for vertical only",Fixed
D-153,SUR-006,SUR-006-T4,Divider exposed to AT,role=separator or <hr> semantics,Element is a styled div with no role=separator; registry markup uses <div> without role,Low,No semantic role,Recommend role=separator or <hr> in registry markup,Fixed
D-154,SUR-007,SUR-007-T3,Alert classes completeness,All alert variant classes listed,Listed many but alert.css also defines alert-default which is omitted from registry,Low,alert-default class exists in CSS but missing from registry,Add alert-default to the alert classes array,Fixed
D-155,SUR-007,SUR-007-T4,alert-dialog markup reflects accessible usage,Markup demonstrates accessible dialog,"registry markup omits role=alertdialog and aria-labelledby, propagating the a11y gap",Low,Example markup lacks ARIA wiring,Add role/aria attributes to the alert-dialog markup example,Fixed
